"","Beer_Names","Beer_ID","ABV","IBU","Style","Ounces","Brewery_Name","Brewery_ID","City","State"
"473","Porter (a/k/a Black Gold Porter)",2509,0.06,23,"American Porter",16,"Appalachian Mountain Brewery",70,"Boone"," NC"
"474","Jalapeno Pale Ale",2508,0.055,45,"American Pale Ale (APA)",16,"Birdsong Brewing Company",71,"Charlotte"," NC"
"475","Double Duckpin",2507,0.085,90,"American Double / Imperial IPA",12,"Union Craft Brewing",72,"Baltimore"," MD"
"476","Old Pro",2506,0.042,10,"Gose",12,"Union Craft Brewing",72,"Baltimore"," MD"
"477","Duckpin Pale Ale",829,0.055,NA,"American Pale Ale (APA)",12,"Union Craft Brewing",72,"Baltimore"," MD"
"478","Balt Altbier",582,0.06,NA,"Altbier",12,"Union Craft Brewing",72,"Baltimore"," MD"
"479","Hop A-Peel",2503,0.075,115,"American Double / Imperial IPA",16,"Atwater Brewery",73,"Detroit"," MI"
"480","Vanilla Java Porter",2502,0.055,12,"American Porter",16,"Atwater Brewery",73,"Detroit"," MI"
"481","Michelada",2495,0.052,NA,"Fruit / Vegetable Beer",16,"Atwater Brewery",73,"Detroit"," MI"
"482","Dirty Blonde Ale",534,0.045,8,"American Blonde Ale",12,"Atwater Brewery",73,"Detroit"," MI"
"483","Grand Circus IPA",528,0.05,62,"American IPA",12,"Atwater Brewery",73,"Detroit"," MI"
"484","Atwater's Lager",527,0.05,12,"Munich Helles Lager",12,"Atwater Brewery",73,"Detroit"," MI"
"485","Hopalicious",2501,0.057,NA,"American Pale Ale (APA)",12,"Ale Asylum",74,"Madison"," WI"
"486","Wobble",2497,0.063,69,"American IPA",16,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"487","Night Cat",2246,0.058,43,"American Dark Wheat Ale",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"488","Night Cat (2014)",1630,0.058,43,"American Dark Wheat Ale",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"489","Dog Days Lager",1284,0.051,17,"Dortmunder / Export Lager",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"490","Sidekick Extra Pale Ale",1121,0.051,36,"American Pale Ale (APA)",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"491","Atom Smasher",1042,0.077,23,"Märzen / Oktoberfest",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"492","Testudo",1041,0.045,NA,"Bière de Garde",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"493","Hobnob B & B Pale Ale",1040,0.065,NA,"American Pale Ale (APA)",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"494","Cane and Ebel",861,0.07,68,"American Strong Ale",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"495","Outlaw IPA (2015)",642,0.065,NA,"American IPA",12,"Two Brothers Brewing Company",75,"Warrenville"," IL"
"496","Cold Press",2496,0.06,NA,"American Black Ale",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"497","Harness the Winter",2410,0.072,87,"American IPA",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"498","14° ESB ",1902,0.056,32,"Extra Special / Strong Bitter (ESB)",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"499","Bent Hop Golden IPA",1901,0.062,68,"American IPA",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"500","Bent Paddle Black Ale",1261,0.06,34,"American Black Ale",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"501","Venture Pils",1253,0.05,38,"German Pilsener",12,"Bent Paddle Brewing Company",76,"Duluth"," MN"
"502","Oberon",2494,0.058,NA,"American Pale Wheat Ale",12,"Bell's Brewery",77,"Kalamazoo"," MI"
"503","Smitten",2325,0.06,NA,"Rye Beer",16,"Bell's Brewery",77,"Kalamazoo"," MI"
"504","Winter White",2022,0.05,NA,"Witbier",16,"Bell's Brewery",77,"Kalamazoo"," MI"
"505","Oberon",1989,0.058,NA,"American Pale Wheat Ale",16,"Bell's Brewery",77,"Kalamazoo"," MI"
"506","Two Hearted",1988,0.07,NA,"American IPA",16,"Bell's Brewery",77,"Kalamazoo"," MI"
"507","Best Brown",1955,0.058,NA,"American Brown Ale",16,"Bell's Brewery",77,"Kalamazoo"," MI"
"508","Professor Black",2490,NA,NA,"American Stout",12,"Blue Owl Brewing",78,"Austin"," TX"
"509","Little Boss",2489,NA,NA,"American Pale Wheat Ale",12,"Blue Owl Brewing",78,"Austin"," TX"
"510","Van Dayum!",2488,NA,NA,"American Amber / Red Ale",12,"Blue Owl Brewing",78,"Austin"," TX"
"511","Spirit Animal",2487,NA,NA,"American Pale Ale (APA)",12,"Blue Owl Brewing",78,"Austin"," TX"
"512","Baby Daddy Session IPA",2486,0.047,35,"American IPA",12,"Speakasy Ales & Lagers",79,"San Francisco"," CA"
"513","Saddle Bronc Brown Ale",2485,0.048,16,"American Brown Ale",12,"Black Tooth Brewing Company",80,"Sheridan"," WY"
"514","Bomber Mountain Amber Ale",2484,0.046,20,"American Amber / Red Ale",12,"Black Tooth Brewing Company",80,"Sheridan"," WY"
"515","Hard Cider",2483,0.068,NA,"Cider",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"516","Totally Radler",2482,0.027,21,"Radler",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"517","Nonstop Hef Hop",2400,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"518","Nonstop Hef Hop",2399,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"519","Nonstop Hef Hop",2398,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"520","Nonstop Hef Hop",2397,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"521","Nonstop Hef Hop",2396,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"522","Nonstop Hef Hop",2395,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"523","Nonstop Hef Hop",2394,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"524","Nonstop Hef Hop",2393,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"525","Nonstop Hef Hop",2392,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"526","Nonstop Hef Hop",2391,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"527","Nonstop Hef Hop",2390,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"528","Nonstop Hef Hop",2389,0.039,20,"American Pale Wheat Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"529","Rise Up Red",2388,0.058,60,"American Amber / Red Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"530","Survival Stout",2200,0.058,35,"American Stout",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"531","Hopworks IPA",2199,0.066,75,"American IPA",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"532","Abominable Winter Ale",2193,0.073,70,"American Strong Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"533","Pigwar White India Pale Ale",1398,0.06,60,"American White IPA",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"534","Rise-Up Red (2014)",1085,0.058,60,"American Amber / Red Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"535","Abominable Winter Ale (2012)",916,0.073,70,"American Strong Ale",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"536","HUB Lager",658,0.051,32,"Czech Pilsener",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"537","Hopworks IPA (2012)",653,0.066,75,"American IPA",16,"Hopworks Urban Brewery",81,"Portland"," OR"
"538","Lil' Brainless Raspberries",2477,0.052,NA,"Fruit / Vegetable Beer",12,"Epic Brewing",82,"Denver"," CO"
"539","Element 29",2008,0.052,NA,"American Pale Ale (APA)",12,"Epic Brewing",82,"Denver"," CO"
"540","Hop Syndrome",2004,0.05,NA,"American Pale Lager",12,"Epic Brewing",82,"Denver"," CO"
"541","Escape to Colorado",2003,0.062,NA,"American IPA",12,"Epic Brewing",82,"Denver"," CO"
"542","Slow Ride",2475,0.045,40,"American IPA",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"543","Ranger IPA",2230,0.065,70,"American IPA",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"544","Shift",1987,0.05,29,"American Pale Lager",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"545","1554 Black Lager",1978,0.056,21,"Euro Dark Lager",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"546","Blue Paddle",1975,0.048,NA,"Czech Pilsener",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"547","California Route",1737,0.055,NA,"American Amber / Red Lager",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"548","Snapshot",1707,0.052,NA,"American Pale Wheat Ale",16,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"549","Sunshine Wheat Beer",1690,0.048,NA,"American Pale Wheat Ale",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"550","Fat Tire Amber Ale",1586,0.052,18,"American Amber / Red Ale",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"551","Shift (1)",952,0.05,29,"American Pale Lager",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"552","Fat Tire Amber Ale (2011)",748,0.052,18,"American Amber / Red Ale",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"553","Shift",578,0.05,29,"American Pale Lager",16,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"554","Ranger IPA",564,0.065,70,"American IPA",16,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"555","Fat Tire Amber Ale",563,0.052,18,"American Amber / Red Ale",16,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"556","Ranger IPA (Current)",115,0.065,70,"American IPA",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"557","Sunshine Wheat Beer (2009)",72,0.048,NA,"American Pale Wheat Ale",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"558","Fat Tire Amber Ale (2008)",71,0.052,18,"American Amber / Red Ale",12,"New Belgium Brewing Company",83,"Fort Collins"," CO"
"559","Nooner",2474,0.052,NA,"German Pilsener",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"560","Torpedo",2239,0.072,65,"American IPA",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"561","Yonder Bock",1919,0.06,NA,"Maibock / Helles Bock",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"562","CANfusion Rye Bock",1918,0.06,NA,"Rye Beer",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"563","Sierra Nevada Pale Ale",1905,0.056,37,"American Pale Ale (APA)",16,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"564","Old Chico Crystal Wheat",1338,0.048,26,"American Pale Wheat Ale",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"565","Summerfest",1295,0.05,28,"Czech Pilsener",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"566","Torpedo",426,0.072,65,"American IPA",16,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"567","Sierra Nevada Pale Ale",400,0.056,37,"American Pale Ale (APA)",12,"Sierra Nevada Brewing Company",84,"Chico"," CA"
"568","U. P. Witbier",2472,NA,NA,"Witbier",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"569","November Gale Pale Ale",779,NA,NA,"American Pale Ale (APA)",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"570","Olde Ore Dock Scottish Ale",364,NA,NA,"Scottish Ale",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"571","Widow Maker Black Ale",60,NA,NA,"American Brown Ale",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"572","Lift Bridge Brown Ale",59,NA,NA,"American Brown Ale",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"573","Pick Axe Blonde Ale",58,NA,NA,"American Blonde Ale",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"574","Red Jacket Amber Ale",57,NA,NA,"American Amber / Red Ale",12,"Keweenaw Brewing Company",85,"Houghton"," MI"
"575","Manitou Amber",2468,0.053,NA,"American Amber / Red Ale",16,"Brewery Terra Firma",86,"Traverse City"," MI"
"576","Autumn Winds Fest Beer",2461,0.058,NA,"Märzen / Oktoberfest",16,"Grey Sail Brewing Company",87,"Westerly"," RI"
"577","Captain's Daughter",2044,0.085,69,"American Double / Imperial IPA",12,"Grey Sail Brewing Company",87,"Westerly"," RI"
"578","India Pale Ale",2460,0.063,65,"American IPA",16,"Kirkwood Station Brewing Company",88,"Kirkwood"," MO"
"579","Blackberry Wheat",2459,0.048,11,"American Pale Wheat Ale",16,"Kirkwood Station Brewing Company",88,"Kirkwood"," MO"
"580","312 Urban Pale Ale",2457,0.054,30,"American Pale Ale (APA)",16,"Goose Island Brewing Company",89,"Chicago"," IL"
"581","312 Urban Pale Ale",2202,0.054,30,"American Pale Ale (APA)",12,"Goose Island Brewing Company",89,"Chicago"," IL"
"582","312 Urban Wheat Ale",2201,0.042,18,"American Pale Wheat Ale",16,"Goose Island Brewing Company",89,"Chicago"," IL"
"583","312 Urban Wheat Ale",1829,0.042,18,"American Pale Wheat Ale",12,"Goose Island Brewing Company",89,"Chicago"," IL"
"584","312 Urban Wheat Ale (2012)",581,0.042,20,"American Pale Wheat Ale",12,"Goose Island Brewing Company",89,"Chicago"," IL"
"585","Broad Brook Ale",2456,0.061,NA,"American Amber / Red Ale",16,"Broad Brook Brewing LLC",90,"East Windsor"," CT"
"586","Lionshead",2455,0.045,NA,"American Pilsner",12,"The Lion Brewery",91,"Wilkes-Barre"," PA"
"587","Galaxy High",2454,0.099,NA,"American Double / Imperial IPA",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"588","Sol Drifter",2209,0.043,18,"American Blonde Ale",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"589","Thunder Snow",2133,0.085,NA,"Winter Warmer",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"590","The Great Pumpcan",1994,0.079,18,"Fruit / Vegetable Beer",16,"Madtree Brewing Company",92,"Cincinnati"," OH"
"591","LIFT",1816,0.047,11,"Kölsch",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"592","SPRYE",1815,0.05,40,"American Pale Ale (APA)",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"593","Psychopathy",1126,0.069,70,"American IPA",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"594","Gnarly Brown",1125,0.07,32,"American Brown Ale",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"595","Happy Amber",1124,0.06,30,"American Amber / Red Ale",12,"Madtree Brewing Company",92,"Cincinnati"," OH"
"596","Razz Wheat",2453,0.055,NA,"Fruit / Vegetable Beer",12,"Jackie O's Pub & Brewery",93,"Athens"," OH"
"597","Hop Ryot",2363,0.065,NA,"American IPA",12,"Jackie O's Pub & Brewery",93,"Athens"," OH"
"598","Mystic Mama IPA",689,0.07,NA,"American IPA",12,"Jackie O's Pub & Brewery",93,"Athens"," OH"
"599","Firefly Amber Ale",688,0.05,NA,"American Amber / Red Ale",12,"Jackie O's Pub & Brewery",93,"Athens"," OH"
"600","Chomolungma Honey Nut Brown Ale",687,0.067,NA,"English Brown Ale",12,"Jackie O's Pub & Brewery",93,"Athens"," OH"
"601","Hustle",2452,0.057,42,"American Amber / Red Ale",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"602","Pure Fury",2451,0.055,42,"American Pale Ale (APA)",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"603","Dad",2132,0.06,60,"American Amber / Red Ale",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"604","Panther",1993,0.058,35,"American Porter",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"605","Franz",1992,0.052,21,"Märzen / Oktoberfest",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"606","Zen",1935,0.043,45,"American Pale Ale (APA)",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"607","Truth",1852,0.072,75,"American IPA",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"608","Cougar",1851,0.048,25,"American Blonde Ale",12,"Rhinegeist Brewery",94,"Cincinnati"," OH"
"609","Self Starter",2450,0.052,67,"American IPA",16,"Warped Wing Brewing Company",95,"Dayton"," OH"
"610","Ermal's",2223,0.054,20,"Cream Ale",16,"Warped Wing Brewing Company",95,"Dayton"," OH"
"611","10 Ton",2222,0.07,NA,"Oatmeal Stout",16,"Warped Wing Brewing Company",95,"Dayton"," OH"
"612","Flyin' Rye",2221,0.07,NA,"American IPA",16,"Warped Wing Brewing Company",95,"Dayton"," OH"
"613","Flying Sailor",2449,0.073,NA,"Rye Beer",12,"Blackrocks Brewery",96,"Marquette"," MA"
"614","Peanut Butter Jelly Time",2446,0.058,NA,"American Brown Ale",12,"Catawba Valley Brewing Company",97,"Morganton"," NC"
"615","King Coconut",2106,0.054,NA,"American Porter",12,"Catawba Valley Brewing Company",97,"Morganton"," NC"
"616","Troegenator",2445,0.082,NA,"Doppelbock",16,"Tröegs Brewing Company",98,"Hershey"," PA"
"617","Nugget Nectar",2444,0.075,93,"American Amber / Red Ale",16,"Tröegs Brewing Company",98,"Hershey"," PA"
"618","Sunshine Pils",2203,0.045,45,"American Pilsner",12,"Tröegs Brewing Company",98,"Hershey"," PA"
"619","Troegenator Doublebock",1510,0.082,25,"Doppelbock",16,"Tröegs Brewing Company",98,"Hershey"," PA"
"620","Perpetual IPA",1509,0.075,85,"American IPA",12,"Tröegs Brewing Company",98,"Hershey"," PA"
"621","Cortez Gold",2442,0.05,NA,"Belgian Pale Ale",32,"Mission Brewery",99,"San Diego"," CA"
"622","Mission IPA",2441,0.068,66,"American IPA",32,"Mission Brewery",99,"San Diego"," CA"
"623","El Conquistador Extra Pale Ale",1460,0.048,44,"American Pale Ale (APA)",32,"Mission Brewery",99,"San Diego"," CA"
"624","Shipwrecked Double IPA",1459,0.092,75,"American Double / Imperial IPA",32,"Mission Brewery",99,"San Diego"," CA"
"625","Bay of Bengal Double IPA (2014)",2440,0.089,126,"American Double / Imperial IPA",12,"Christian Moerlein Brewing Company",100,"Cincinnati"," OH"
"626","Christmas Ale",2439,0.09,NA,"Herbed / Spiced Beer",12,"West Sixth Brewing",101,"Lexington"," KY"
"627","Pay It Forward Cocoa Porter",2356,0.07,NA,"American Porter",12,"West Sixth Brewing",101,"Lexington"," KY"
"628","West Sixth Amber Ale",1069,0.055,NA,"American Amber / Red Ale",12,"West Sixth Brewing",101,"Lexington"," KY"
"629","West Sixth IPA",652,NA,NA,"American IPA",12,"West Sixth Brewing",101,"Lexington"," KY"
"630","Rhode Island Blueberry",2438,0.046,11,"Kölsch",12,"Coastal Extreme Brewing Company",102,"Newport"," RI"
"631","Newport Storm IPA",2437,0.065,75,"American IPA",12,"Coastal Extreme Brewing Company",102,"Newport"," RI"
"632","Hurricane Amber Ale (2004)",751,0.052,24,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company",102,"Newport"," RI"
"633","Hurricane Amber Ale",120,0.052,24,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company",102,"Newport"," RI"
"634","Amber Ale",2436,0.051,NA,"American Amber / Red Ale",12,"King Street Brewing Company",103,"Anchorage"," AK"
"635","King Street Pilsner",1706,0.055,NA,"Czech Pilsener",12,"King Street Brewing Company",103,"Anchorage"," AK"
"636","King Street IPA",1667,0.06,70,"American IPA",12,"King Street Brewing Company",103,"Anchorage"," AK"
"637","King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12,"King Street Brewing Company",103,"Anchorage"," AK"
"638","King Street Blonde Ale",1665,0.049,NA,"American Blonde Ale",12,"King Street Brewing Company",103,"Anchorage"," AK"
"639","Watermelon Ale",2435,0.05,10,"Fruit / Vegetable Beer",12,"Beer Works Brewery",104,"Lowell"," MA"
"640","Fenway American Pale Ale",2423,0.058,45,"American Pale Ale (APA)",12,"Beer Works Brewery",104,"Lowell"," MA"
"641","Back Bay IPA",2420,0.068,85,"American IPA",12,"Beer Works Brewery",104,"Lowell"," MA"
"642","Bunker Hill Blueberry Ale ",2419,0.048,16,"Other",12,"Beer Works Brewery",104,"Lowell"," MA"
"643","Peach Pale Ale",2434,0.057,40,"American Pale Ale (APA)",12,"Lone Tree Brewing Company",105,"Lone Tree"," CO"
"644","Four String Vanilla Porter",2428,0.06,NA,"American Porter",12,"Four String Brewing Company",106,"Columbus"," OH"
"645","Suncaster Summer Wheat",2427,0.05,28,"American Pale Wheat Ale",12,"Four String Brewing Company",106,"Columbus"," OH"
"646","Brass Knuckle Pale Ale",2425,0.057,36,"American Pale Ale (APA)",12,"Four String Brewing Company",106,"Columbus"," OH"
"647","Big Star White IPA",2424,0.07,70,"American White IPA",12,"Four String Brewing Company",106,"Columbus"," OH"
"648","Clean Shave IPA",2426,0.067,70,"American IPA",12,"Glabrous Brewing Company",107,"Pineland"," ME"
"649","Firestarter India Pale Ale",2422,0.066,72,"American IPA",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"650","Kilt Dropper Scotch Ale",1727,0.075,22,"Scotch Ale / Wee Heavy",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"651","Wood Splitter Pilsner",1614,0.048,30,"Czech Pilsener",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"652","Gyptoberfest",1613,0.056,26,"Märzen / Oktoberfest",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"653","Farmer Wirtz India Pale Ale",1549,0.07,94,"English India Pale Ale (IPA)",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"654","Slow & Steady Golden Ale",1548,0.047,NA,"American Blonde Ale",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"655","Pink-I Raspberry IPA",1517,0.068,NA,"American IPA",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"656","Moe's Original Bar B Que 'Bama Brew Golden Ale",1500,0.047,NA,"American Blonde Ale",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"657","Live Local Golden Ale",1421,0.047,NA,"American Blonde Ale",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"658","Screaming Eagle Special Ale ESB",1360,0.048,38,"Extra Special / Strong Bitter (ESB)",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"659","Dirtbag Dunkel",1184,0.049,NA,"Munich Dunkel Lager",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"660","Kindler Pale Ale",1183,0.053,45,"American Pale Ale (APA)",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"661","Mistress Winter Wheat",1023,0.064,NA,"Winter Warmer",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"662","Tent Pole Vanilla Porter",998,0.061,NA,"American Porter",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"663","Awry Rye Pale Ale",997,0.058,NA,"American Pale Ale (APA)",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"664","Demshitz Brown Ale",996,0.058,NA,"American Brown Ale",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"665","Wood Splitter Pilsner (2012)",931,0.048,NA,"Czech Pilsener",12,"Bonfire Brewing Company",108,"Eagle"," CO"
"666","Brush Creek Blonde",798,0.048,NA,"American Blonde Ale",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"667","Firestarter India Pale Ale",633,0.066,72,"American IPA",16,"Bonfire Brewing Company",108,"Eagle"," CO"
"668","Watermelon Ale",2421,0.051,11,"Fruit / Vegetable Beer",12,"Thomas Hooker Brewing Company",109,"Bloomfield"," CT"
"669","4000 Footer IPA",2417,0.065,82,"American IPA",12,"Woodstock Inn, Station & Brewery",110,"North Woodstock"," NH"
"670","Summer Brew",2306,0.028,15,"American Pilsner",12,"Woodstock Inn, Station & Brewery",110,"North Woodstock"," NH"
"671","Consilium",2414,0.05,40,"American Pale Ale (APA)",12,"Renegade Brewing Company",111,"Denver"," CO"
"672","Hammer & Sickle",1581,0.09,60,"Russian Imperial Stout",12,"Renegade Brewing Company",111,"Denver"," CO"
"673","Redacted Rye IPA",1176,0.07,100,"American IPA",16,"Renegade Brewing Company",111,"Denver"," CO"
"674","Elevation Triple India Pale Ale",1006,0.099,100,"American Double / Imperial IPA",12,"Renegade Brewing Company",111,"Denver"," CO"
"675","5:00 O'Clock Afternoon Ale",1005,0.05,25,"American Blonde Ale",16,"Renegade Brewing Company",111,"Denver"," CO"
"676","Ryeteous Rye IPA (2012)",636,0.07,100,"American IPA",16,"Renegade Brewing Company",111,"Denver"," CO"
"677","Cali Creamin'",2413,0.052,21,"Cream Ale",12,"Mother Earth Brew Company",112,"Vista"," CA"
"678","Deception",2412,0.045,16,"American Blonde Ale",12,"Black Market Brewing Company",113,"Temecula"," CA"
"679","Blackmarket Rye IPA",1898,0.075,35,"American IPA",12,"Black Market Brewing Company",113,"Temecula"," CA"
"680","Black Market Hefeweizen",1897,0.05,8,"Hefeweizen",12,"Black Market Brewing Company",113,"Temecula"," CA"
"681","Aftermath Pale Ale",1896,0.058,44,"American Pale Ale (APA)",12,"Black Market Brewing Company",113,"Temecula"," CA"
"682","Nitro Can Coffee Stout",2411,0.052,NA,"American Stout",12,"Vault Brewing Company",114,"Yardley"," PA"
"683","Welcome to Scoville",2408,0.069,NA,"American IPA",12,"Jailbreak Brewing Company",115,"Laurel"," MD"
"684","Rule G IPA",2407,0.07,88,"American IPA",12,"Smartmouth Brewing Company",116,"Norfolk"," VA"
"685","Murphy's Law",2406,0.058,35,"American Amber / Red Ale",12,"Smartmouth Brewing Company",116,"Norfolk"," VA"
"686","Alter Ego ",2405,0.062,33,"Saison / Farmhouse Ale",12,"Smartmouth Brewing Company",116,"Norfolk"," VA"
"687","Hop in the ‘Pool Helles",2404,0.049,22,"American Pilsner",12,"Base Camp Brewing Co.",117,"Portland"," OR"
"688","Ultra Gnar Gnar IPA",2323,0.067,60,"American IPA",12,"Base Camp Brewing Co.",117,"Portland"," OR"
"689","In-Tents India Pale Lager",2189,0.068,62,"American Pale Lager",12,"Base Camp Brewing Co.",117,"Portland"," OR"
"690","Lost Meridian Wit",2188,0.05,20,"Witbier",12,"Base Camp Brewing Co.",117,"Portland"," OR"
"691","Celestial Meridian Cascadian Dark Lager",2187,0.051,45,"Euro Dark Lager",12,"Base Camp Brewing Co.",117,"Portland"," OR"
"692","P-Town Pilsner",2403,0.04,20,"American Pilsner",12,"Alameda Brewing",118,"Portland"," OR"
"693","Klickitat Pale Ale",2402,0.053,36,"American Pale Ale (APA)",12,"Alameda Brewing",118,"Portland"," OR"
"694","Yellow Wolf Imperial IPA",2401,0.082,103,"American Double / Imperial IPA",12,"Alameda Brewing",118,"Portland"," OR"
"695","Pine Belt Pale Ale",2387,0.065,45,"American Pale Ale (APA)",12,"Southern Star Brewing Company",119,"Conroe"," TX"
"696","Walloon",2267,0.055,NA,"Saison / Farmhouse Ale",12,"Southern Star Brewing Company",119,"Conroe"," TX"
"697","Le Mort Vivant",1740,0.069,23,"Bière de Garde",12,"Southern Star Brewing Company",119,"Conroe"," TX"
"698","Red Cockaded Ale",1728,0.085,110,"American Double / Imperial IPA",12,"Southern Star Brewing Company",119,"Conroe"," TX"
"699","Valkyrie Double IPA",1497,0.092,100,"American Double / Imperial IPA",12,"Southern Star Brewing Company",119,"Conroe"," TX"
"700","Red Cockaded Ale (2013)",1011,0.085,110,"American Double / Imperial IPA",12,"Southern Star Brewing Company",119,"Conroe"," TX"
